Tipo_cluster;num_clusters;RMSE;MSE;MAE
Rating;3;0,998899646389544;1,00587520195681;0,797161650343639
Rating;4;1,01517558049494;1,04265871071767;0,810401586147007
Proporção;5;1,0300216371769;1,06223138050506;0,823129400035897
Proporção;4;1,04813652511063;1,10004534661347;0,832897148246161
Nenhum;0;1,04879837646417;1,09997803447388;0,836038839895004
Proporção;2;1,05038546765737;1,10388762048922;0,836326425221043
Proporção;3;1,05051959058603;1,1037815180477;0,834834462641745
Rating;2;1,05077697941554;1,10693325363084;0,841589689635455
Rating;5;1,11559504241084;1,26666296967437;0,891297752838707
